"Fecha/Hora";"Precipitacion (mm)";"Temperatura (ºC)";"Humedad (%)";"Dir. Del Viento (º)";"Int. del Viento (m/s)";"Radiación (w/m2)"
12/08/2025 23:00:00;0,00;10,60;58,50;141,50;1,90;0,00
12/08/2025 22:00:00;0,00;12,20;54,10;159,20;2,20;0,00
12/08/2025 21:00:00;0,00;14,00;49,40;154,00;3,30;0,00
12/08/2025 20:00:00;0,00;15,70;44,80;150,00;3,90;0,00
12/08/2025 19:00:00;0,00;18,00;38,30;149,60;3,70;0,20
12/08/2025 18:00:00;0,00;20,20;33,00;150,40;4,20;29,20
12/08/2025 17:00:00;0,00;21,90;30,40;148,20;3,90;154,70
12/08/2025 16:00:00;0,00;24,30;27,70;166,80;5,70;411,20
12/08/2025 15:00:00;0,00;27,50;19,90;189,10;2,80;594,20
12/08/2025 14:00:00;0,00;27,10;19,60;238,40;1,80;685,60
12/08/2025 13:00:00;0,00;26,00;22,60;315,20;4,30;719,30
12/08/2025 12:00:00;0,00;24,60;23,80;331,10;5,60;635,20
12/08/2025 11:00:00;0,00;22,40;28,10;338,90;4,80;447,10
12/08/2025 10:00:00;0,00;20,30;30,20;338,40;5,20;317,50
12/08/2025 09:00:00;0,00;18,00;32,80;359,80;3,10;160,90
12/08/2025 08:00:00;0,00;16,50;34,20;7,40;2,20;28,80
12/08/2025 07:00:00;0,00;16,20;34,20;5,50;2,60;0,10
12/08/2025 06:00:00;0,00;16,50;33,70;12,30;4,20;0,00
12/08/2025 05:00:00;0,00;16,40;34,40;5,60;2,80;0,00
12/08/2025 04:00:00;0,00;16,40;34,50;35,30;2,70;0,00
12/08/2025 03:00:00;0,00;16,50;32,60;19,50;2,70;0,00
12/08/2025 02:00:00;0,00;16,20;34,30;14,40;3,00;0,00
12/08/2025 01:00:00;0,00;12,60;42,70;3,40;0,90;0,00
12/08/2025 00:00:00;0,00;11,50;43,90;351,30;1,00;0,00
11/08/2025 23:00:00;0,00;12,30;40,70;337,70;1,70;0,00
11/08/2025 22:00:00;0,00;14,90;34,80;340,00;2,30;0,00
11/08/2025 21:00:00;0,00;16,90;30,50;352,80;2,10;0,00
11/08/2025 20:00:00;0,00;13,60;39,50;351,20;1,20;0,00
11/08/2025 19:00:00;0,00;17,80;31,30;49,50;0,90;0,20
11/08/2025 18:00:00;0,00;21,60;25,10;60,50;2,70;37,20
11/08/2025 17:00:00;0,00;24,60;21,40;79,30;1,60;201,00
11/08/2025 16:00:00;0,00;25,50;20,40;43,90;0,50;361,00
11/08/2025 15:00:00;0,00;25,30;20,80;349,10;1,70;522,80
11/08/2025 14:00:00;0,00;24,60;21,40;3,50;1,70;659,10
11/08/2025 13:00:00;0,00;23,40;23,00;330,60;2,40;682,30
11/08/2025 12:00:00;0,00;23,00;23,60;346,90;2,30;709,10
11/08/2025 09:00:00;0,00;8,40;56,30;337,60;1,30;166,30
11/08/2025 08:00:00;0,00;4,50;67,30;342,30;0,40;33,90
11/08/2025 07:00:00;0,00;5,80;62,50;353,20;1,90;0,30
11/08/2025 06:00:00;0,00;6,40;60,80;340,40;2,40;0,00
11/08/2025 05:00:00;0,00;5,80;61,40;336,50;2,40;0,00
11/08/2025 04:00:00;0,00;8,10;53,20;347,30;2,10;0,00
11/08/2025 03:00:00;0,00;9,00;50,50;343,50;1,70;0,00
11/08/2025 02:00:00;0,00;8,90;49,80;342,90;2,00;0,00
11/08/2025 01:00:00;0,00;7,90;50,50;337,90;2,50;0,00
11/08/2025 00:00:00;0,00;8,80;46,40;339,60;2,50;0,00
10/08/2025 23:00:00;0,00;9,50;44,60;351,20;2,50;0,00
10/08/2025 22:00:00;0,00;7,80;55,10;2,70;1,40;0,00
10/08/2025 21:00:00;0,00;10,10;50,40;73,10;0,60;0,00
10/08/2025 20:00:00;0,00;14,30;38,40;99,20;0,70;0,00
10/08/2025 19:00:00;0,00;17,10;31,50;110,20;1,60;0,30
10/08/2025 18:00:00;0,00;19,90;25,60;128,60;1,80;58,70
10/08/2025 17:00:00;0,00;21,70;22,70;136,80;1,70;233,30
10/08/2025 16:00:00;0,00;22,50;20,70;90,80;0,50;319,10
10/08/2025 09:00:00;0,00;10,80;40,20;342,50;0,70;144,50
10/08/2025 08:00:00;0,00;6,90;48,90;6,40;0,20;31,40
10/08/2025 07:00:00;0,00;2,00;66,10;337,40;1,10;0,30
10/08/2025 06:00:00;0,00;1,60;68,70;332,30;0,30;0,00
10/08/2025 05:00:00;0,00;2,80;62,80;326,80;0,70;0,00
10/08/2025 04:00:00;0,00;4,10;60,50;5,40;1,80;0,00
10/08/2025 03:00:00;0,00;2,80;67,20;352,80;1,10;0,00
10/08/2025 02:00:00;0,00;2,90;68,70;329,80;0,60;0,00
10/08/2025 01:00:00;0,00;3,90;67,50;350,80;0,40;0,00
10/08/2025 00:00:00;0,00;5,10;64,10;336,40;1,60;0,00
09/08/2025 23:00:00;0,00;7,20;57,90;340,30;0,40;0,00
09/08/2025 22:00:00;0,00;8,00;53,60;17,20;0,00;0,00
09/08/2025 21:00:00;0,00;10,70;44,60;3,20;0,30;0,00
09/08/2025 20:00:00;0,00;12,40;38,80;359,80;1,10;0,00
09/08/2025 19:00:00;0,00;14,20;35,00;11,30;0,90;0,10
09/08/2025 18:00:00;0,00;18,20;27,10;10,30;1,90;57,10
09/08/2025 17:00:00;0,00;21,30;22,90;38,00;3,20;256,80
09/08/2025 16:00:00;0,00;22,10;20,20;60,70;4,30;488,50
09/08/2025 15:00:00;0,00;22,10;19,50;58,90;4,30;633,00
09/08/2025 10:00:00;0,00;16,00;37,30;25,90;4,10;423,30
09/08/2025 09:00:00;0,00;12,40;46,00;22,20;2,20;184,40
09/08/2025 08:00:00;0,00;6,00;66,60;21,50;0,70;29,30
09/08/2025 07:00:00;0,00;2,20;72,60;343,90;0,40;0,30
09/08/2025 06:00:00;0,00;4,60;62,90;353,10;1,40;0,00
09/08/2025 05:00:00;0,00;4,00;59,90;353,70;1,60;0,00
09/08/2025 04:00:00;0,00;3,80;56,80;351,10;1,50;0,00
09/08/2025 03:00:00;0,00;3,80;55,80;347,30;2,20;0,00
09/08/2025 02:00:00;0,00;0,50;55,40;358,20;0,50;0,00
09/08/2025 01:00:00;0,00;0,90;48,50;1,50;0,50;0,00
09/08/2025 00:00:00;0,00;2,50;42,40;346,20;1,00;0,00
08/08/2025 23:00:00;0,00;5,10;35,40;54,10;1,30;0,00
08/08/2025 22:00:00;0,00;6,50;30,90;67,10;2,70;0,00
08/08/2025 21:00:00;0,00;7,00;32,60;74,10;3,00;0,00
08/08/2025 20:00:00;0,00;9,70;28,20;87,20;2,70;0,00
08/08/2025 19:00:00;0,00;12,20;23,20;104,60;3,20;0,20
08/08/2025 18:00:00;0,00;14,90;18,40;120,30;3,10;49,80
08/08/2025 17:00:00;0,00;17,30;14,60;132,10;2,50;263,00
08/08/2025 16:00:00;0,00;17,90;13,80;134,60;1,90;466,20
08/08/2025 15:00:00;0,00;17,60;15,40;133,70;1,30;620,40
08/08/2025 12:00:00;0,00;13,80;23,30;108,30;2,00;701,00
08/08/2025 11:00:00;0,00;11,90;28,30;98,70;1,20;590,30
08/08/2025 10:00:00;0,00;6,10;41,50;338,70;0,90;424,80
08/08/2025 09:00:00;0,00;-0,70;60,20;334,30;1,70;181,70
08/08/2025 08:00:00;0,00;-5,70;78,90;336,90;2,30;28,00
08/08/2025 07:00:00;0,00;-6,10;82,50;338,70;2,20;0,30
08/08/2025 06:00:00;0,00;-5,80;83,30;334,50;2,00;0,00
08/08/2025 05:00:00;0,00;-5,00;83,40;338,00;2,10;0,00
08/08/2025 04:00:00;0,00;-5,00;84,20;336,10;2,60;0,00
08/08/2025 03:00:00;0,00;-4,40;83,40;335,60;2,30;0,00
08/08/2025 02:00:00;0,00;-4,30;83,40;333,70;2,20;0,00
08/08/2025 01:00:00;0,00;-3,70;80,60;338,00;1,70;0,00
08/08/2025 00:00:00;0,00;-2,90;76,60;327,50;1,50;0,00
07/08/2025 23:00:00;0,00;-1,30;71,20;330,00;0,20;0,00
07/08/2025 22:00:00;0,00;1,10;63,70;134,20;0,00;0,00
